OUTPUT OF MATLAB Q4 SMALL STRAIN FEM IMPLEMENTATION 

          DISPLACEMENTS 
********************************* 
  Node      U1           U2 
  620  -7.23583e-02   6.19248e-01 
  621  -7.97466e-02   6.18156e-01 
  622  -5.12725e-02   6.30035e-01 
  623  -6.60951e-02   6.27754e-01 
  624  -8.09362e-02   6.25534e-01 
  625  -5.23341e-02   6.37490e-01 
  626  -5.97779e-02   6.36332e-01 
  627  -6.72259e-02   6.35188e-01 
  628  -7.46786e-02   6.34060e-01 
  629  -8.21362e-02   6.32946e-01 
  630  -5.34068e-02   6.44980e-01 
  631  -6.83675e-02   6.42657e-01 
  632  -8.33467e-02   6.40392e-01 
  633  -5.44906e-02   6.52504e-01 
  634  -6.20031e-02   6.51324e-01 
  635  -6.95199e-02   6.50160e-01 
  636  -7.70413e-02   6.49009e-01 
  637  -8.45677e-02   6.47873e-01 
  638  -5.55856e-02   6.60063e-01 
  639  -7.06831e-02   6.57696e-01 
  640  -8.57991e-02   6.55389e-01 
  641  -5.66916e-02   6.67655e-01 
  642  -6.42722e-02   6.66454e-01 
  643  -7.18570e-02   6.65267e-01 
  644  -7.94465e-02   6.64096e-01 
  645  -8.70410e-02   6.62938e-01 
  646  -5.78088e-02   6.75281e-01 
  647  -7.30418e-02   6.72872e-01 
  648  -8.82933e-02   6.70521e-01 
  649  -5.89371e-02   6.82941e-01 
  650  -6.65851e-02   6.81719e-01 
